perl-io-socket-ssl 2.048-3
perl-json 2.97000-1
perl-libwww 6.26-3
perl-locale-gettext 1.07-5
perl-lwp-mediatypes 6.02-4
perl-lwp-protocol-https 6.06-4
perl-net-http 6.17-1
perl-net-ssleay 1.81-4
perl-text-csv 1.95-3
perl-try-tiny 0.30-1
perl-uri 1.72-2
perl-www-robotrules 6.02-4
perl-xml-libxml 2.0129-4
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-6
perl-xml-sax 0.99-5
perl-xml-sax-base 1.09-2
pinentry 1.1.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
pkgfile 17-1
polari 3.26.2-1
polkit 0.113+34+g29ba7af-1
poppler 0.61.1-1
poppler-data 0.4.8-1
poppler-glib 0.61.1-1
popt 1.16-9
powertop 2.9-1
ppp 2.4.7-4
pptpclient 1.9.0-1
procps-ng 3.3.12-2
protobuf 3.5.1.1-1
psensor 1.2.0-2
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pyalpm 0.8.2-2
pygobject-devel 3.26.1-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.9.2-2
python 3.6.4-1
python-appdirs 1.4.3-1
python-atspi 2.26.0-1
python-cairo 1.15.4-1
python-chardet 3.0.4-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-gobject 3.26.1-1
python-idna 2.6-1
python-packaging 16.8-2
python-psutil 5.4.1-1
python-pycups 1.9.73-3
python-pycurl 7.43.0.1-1
python-pyelftools 0.24-2
python-pyparsing 2.2.0-1
python-pyqt5 5.9.2-2
python-pyside-common 1.2.4-6
python-pysmbc 1.0.15.8-1
python-requests 2.18.4-1
python-setuptools 1:38.4.0-1
python-sip 4.19.6-1
python-six 1.11.0-1
python-termcolor 1.1.0-5
python-urllib3 1.22-1
python-xdg 0.25-4
python2 2.7.14-1
python2-cairo 1.15.4-1
python2-gnomekeyring 2.32.0-17
python2-gobject2 2.28.7-1
python2-pyside 1.2.4-6
python2-shiboken 1.2.4-3
python2-six 1.11.0-1
qpdf 7.0.0-3
qt4 4.8.7-23
qt5-base 5.10.0-2
qt5-charts 5.10.0-1
qt5-styleplugins 5.0.0.20170311-4
qt5-svg 5.10.0-1
qt5-tools 5.10.0-1
qt5-x11extras 5.10.0-1
qt5ct 0.34-2
randrproto 1.5.0-1
raptor 2.0.15-7
rasqal 1:0.9.33-1
re2 20180101-1
readline 7.0.003-1
recordproto 1.14.2-2
redland 1:1.0.17-4
reflector 2017.11-1
reiserfsprogs 3.6.27-1
renderproto 0.11.1-3
rest 0.8.1-1
rhash 1.3.5-2
rpcbind 0.2.4-4
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.3-1
s-nail 14.9.6-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-9
sdl2 2.0.7-1
sdl_image 1.2.12-4
seahorse 3.20.0+105+gb31e32fe-1
sed 4.4-1
semver 5.4.1-1
shadow 4.5-4
shared-color-targets 0.1.7-1
shared-mime-info 1.9-1
shiboken 1.2.4-3
sip 4.19.6-1
slang 2.3.1a-1
smartgit 17.1.3-1
smartmontools 6.6-1
smbclient 4.7.4-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
source-highlight 3.1.8-14
spandsp 0.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
spotify 1.0.70.399-1
sqlite 3.21.0-1
stacer 1.0.8-2
startup-notification 0.12-5
sudo 1.8.21.p2-1
swig 3.0.12-1
sysfsutils 2.1.0-9
system-config-printer 1.5.9-3
systemd 236.0-2
systemd-sysvcompat 236.0-2
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.10-1
tar 1.30-1
tcl 8.6.8-1
tdb 1.3.15-1
telepathy-glib 0.24.1-1
telepathy-idle 0.2.0-2
telepathy-logger 0.8.2-2
telepathy-mission-control 5.16.4-2
terminus-font 4.46-1
tevent 1:0.9.34-1
texinfo 6.5-1
thermald 1.7.1-1
thin-provisioning-tools 0.7.5-1
tlp 1.0-1
tlp-rdw 1.0-1
totem 3.26.0+1+g4e309671-1
totem-plparser 3.26.0-1
tracker 2.0.2-1
tracker-miners 2.0.3-1
transmission-gtk 2.92-7
tslib 1.14-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-1
ttf-liberation 2.00.1-7
tzdata 2017c-1
udisks2 2.7.5-1
ufw 0.35-3
uglify-js 3.3.4-1
unrar 1:5.5.8-1
unzip 6.0-12
upower 0.99.7-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.31.1-1
v4l-utils 1.12.5-1
vala 0.38.4-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim-runtime 8.0.1415-2
visual-studio-code-bin 1.19.1-1
vlc 2.2.8-1
vocal-git 2.1.5.r239.cab7185-1
volume_key 0.3.9-5
vte-common 0.50.2-1
vte3 0.50.2-1
vulkan-icd-loader 1.0.61.1-1
wavpack 5.1.0-1
wayland 1.14.0-1
wayland-protocols 1.12-1
webkit2gtk 2.18.4-1
webrtc-audio-processing 0.3-2
wget 1.19.2-1
which 2.21-2
whois 5.2.20-1
wildmidi 0.4.2-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-11
x265 2.6-1
x86_energy_perf_policy 4.14-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-user-dirs 0.16-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-libinput 0.26.0-1
xf86-video-fbdev 0.4.4+12+ge0bce0d-1
xf86-video-vesa 2.3.4-4
xf86dgaproto 2.1-3
xf86miscproto 0.9.3-1
xf86vidmodeproto 2.3.1-3
xfsprogs 4.14.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.22-1
xmind 3.7.6-1
xmlsec 1.2.25-1
xorg-appres 1.0.4-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
